# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	62556
#@/user_id	3341f95e-2102-4b54-a91e-f7eb6dfaf9d9
a 	啊	c=728 d=3.96629 t=62507
a 	阿	c=1 d=1 t=17887
a bu 	阿布	c=3 d=1 t=34078
a fa 	阿法	c=1 d=1 t=57117
a ha 	啊哈	c=2 d=1.99501 t=61107
a li 	阿里	c=5 d=1 t=47650
a li lei en 	阿里雷恩	c=2 d=1.8781 t=2231
a li wang wang 	阿里旺旺	c=1 d=1 t=2476
a li yun 	阿里雲	c=50 d=2.55545 t=58070
a lian 	阿聯	c=1 d=1 t=6633
a ma ni 	阿瑪尼	c=2 d=1.97045 t=13359
a pi pi 	啊皮皮	c=1 d=1 t=57090
a po 	阿婆	c=3 d=2.98506 t=61947
a shen du fu 	啊深度福	c=1 d=1 t=13678
a shi dang fan wei 	啊適當範圍	c=1 d=1 t=13670
a si dun 	阿斯頓	c=0 d=0.1 t=4637
a si dun ji fen ou wen 	阿斯頓積分歐文	c=1 d=1 t=4638
a yi 	阿姨	c=1 d=0.1 t=55271
ai 	哎	c=68 d=1.61664 t=62453
ai 	唉	c=1 d=1 t=34757
ai 	愛	c=3 d=1 t=59877
ai 	矮	c=1 d=1 t=31195
ai chi 	愛吃	c=1 d=1 t=30088
ai da 	捱打	c=2 d=1 t=60486
ai fou 	愛否	c=4 d=1.02856 t=62126
ai hui shou 	愛回收	c=1 d=1 t=35611
ai kang 	愛康	c=2 d=1 t=51653
ai ma 	愛瑪	c=0 d=0.1 t=2882
ai ma shi 	愛瑪士	c=1 d=1 t=2883
ai pu sheng 	愛普生	c=1 d=1 t=5400
ai rui 	艾瑞	c=1 d=1 t=45536
ai rui ba di 	艾瑞巴蒂	c=1 d=1 t=23649
ai shang 	愛上	c=1 d=1 t=59926
ai you 	哎呦	c=1 d=1 t=30198
ai zheng 	癌症	c=1 d=1 t=56439
an 	俺	c=13 d=2.67262 t=53941
an 	安	c=6 d=1 t=45285
an 	按	c=7 d=1.00001 t=46519
an 	案	c=1 d=1 t=1708
an bu jiu ban 	按部就班	c=1 d=1 t=30035
an chao 	安超	c=1 d=1 t=20235
an che 	俺車	c=1 d=1 t=33327
an dan wei 	俺單位	c=1 d=1 t=40662
an de sen 	安德森	c=2 d=1.47237 t=57869
an dian er 	按點兒	c=4 d=1.98511 t=34079
an dui xiang 	俺對象	c=2 d=1 t=22855
an er 	庵兒	c=1 d=1 t=47295
an fang 	安防	c=3 d=2.51174 t=34870
an guang 	暗光	c=1 d=1 t=43449
an he 	安和	c=0 d=0.1 t=46853
an he qiao 	安和橋	c=1 d=1 t=46854
an ji xia 	按幾下	c=1 d=1 t=36186
an jia 	俺家	c=4 d=1 t=52740
an jian 	按鍵	c=9 d=1 t=27047
an jing 	安靜	c=1 d=1 t=23182
an li 	安利	c=4 d=1 t=62504
an li 	案例	c=1 d=1 t=49462
an ma 	俺媽	c=1 d=1 t=1121
an man 	安曼	c=1 d=1 t=3400
an men 	俺們	c=1 d=1 t=29761
an niu 	按鈕	c=6 d=1.99005 t=57362
an pai 	安排	c=7 d=1 t=56774
an pai le 	安排了	c=1 d=1 t=34050
an quan 	安全	c=7 d=1.00139 t=42453
an quan ma 	安全嗎	c=1 d=1 t=34355
an quan xing 	安全性	c=1 d=1 t=8263
an quan zu 	安全組	c=2 d=1.71534 t=39133
an shang qu 	按上去	c=1 d=1 t=3376
an shi 	按時	c=2 d=1 t=26748
an ta 	安踏	c=1 d=1 t=45270
an wei 	安慰	c=1 d=1 t=35592
an wen 	安穩	c=2 d=1 t=32069
an xia 	按下	c=1 d=1 t=17847
an xin 	安心	c=1 d=0.1 t=37735
an xin hui jia 	安心回家	c=1 d=1 t=37736
an xu 	按需	c=1 d=1 t=39871
an zhao 	按照	c=39 d=1 t=59968
an zhao mu ban 	按照模板	c=1 d=1 t=30037
an zhao yi zhang tu pian 	按照一張圖片	c=1 d=1 t=19130
an zhe 	按着	c=1 d=1 t=26980
an zhuang 	安裝	c=26 d=1.97569 t=58858
an zhuo 	安卓	c=6 d=1.98242 t=57320
ang 	昂	c=87 d=2.31656 t=61829
ao 	凹	c=8 d=1.00007 t=46698
ao 	奧	c=3 d=1.00017 t=8946
ao 	熬	c=6 d=1 t=61867
ao de sai 	奧德賽	c=1 d=1 t=36990
ao kou 	拗口	c=1 d=1 t=17946
ao ku shou dan 	熬枯受淡	c=0 d=0.1 t=5049
ao ku shou dan jie fang lu 	熬枯受淡解放路	c=2 d=1.99501 t=5051
ao men 	澳門	c=2 d=1 t=22592
ao si ding 	奧斯丁	c=2 d=1.99005 t=13684
ba 	吧	c=439 d=1.02718 t=62512
ba 	壩	c=1 d=1 t=37701
ba 	巴	c=2 d=1.06393 t=44204
ba 	扒	c=1 d=1 t=18534
ba 	把	c=117 d=1 t=62338
ba 	拔	c=9 d=1 t=51635
ba 	爸	c=7 d=5.02482 t=37756
